year,date,stage,course,type,distance_in_km,winner_name,country
1913,1913-07-19,11,Grenoble to Geneva,Mountain,325.0,Marcel Buysse,Bélgica
1913,1913-07-21,12,Geneva to Belfort,Mountain,335.0,Marcel Buysse,Bélgica
1913,1913-07-23,13,Belfort to Longwy,Mountain,325.0,François Faber,Luxemburgo
1913,1913-07-25,14,Longwy to Dunkerque,Flat,393.0,Marcel Buysse,Bélgica
1913,1913-07-27,15,Dunkerque to Paris,Flat,340.0,Marcel Buysse,Bélgica
1914,1914-06-28,1,Paris to Le Havre,Flat,388.0,Philippe Thys,Bélgica
1914,1914-06-30,2,Le Havre to Cherbourg-en-Cotentin,Flat,364.0,Jean Rossius,Bélgica
1914,1914-07-02,3,Cherbourg to Brest,Flat,405.0,Emile Engel,Francia
1914,1914-07-04,4,Brest to La Rochelle,Flat,470.0,Oscar Egg,Suiza
1914,1914-07-06,5,La Rochelle to Bayonne,Flat,376.0,Oscar Egg,Suiza
1914,1914-07-08,6,Bayonne to Luchon,Mountain,326.0,Firmin Lambot,Bélgica
1914,1914-07-10,7,Luchon to Perpignan,Mountain,323.0,Jean Alavoine,Francia
1914,1914-07-12,8,Perpignan to Marseille,Flat,370.0,Octave Lapize,Francia
1914,1914-07-14,9,Marseille to Nice,Mountain,338.0,Jean Rossius,Bélgica
1914,1914-07-16,10,Nice to Grenoble,Mountain,323.0,Henri Pélissier,Francia
1914,1914-07-18,11,Grenoble to Geneva,Mountain,325.0,Gustave Garrigou,Francia
1914,1914-07-20,12,Geneva to Belfort,Mountain,325.0,Henri Pélissier,Francia
1914,1914-07-22,13,Belfort to Longwy,Mountain,325.0,François Faber,Luxemburgo
1914,1914-07-24,14,Longwy to Dunkerque,Flat,390.0,François Faber,Luxemburgo
1914,1914-07-26,15,Dunkerque to Paris,Flat,340.0,Henri Pélissier,Francia
1919,1919-06-29,1,Paris to Le Havre,Flat,388.0,Jean Rossius,Bélgica
1919,1919-07-01,2,Le Havre to Cherbourg-en-Cotentin,Flat,364.0,Henri Pélissier,Francia
1919,1919-07-03,3,Cherbourg to Brest,Flat,405.0,Francis Pélissier,Francia
1919,1919-07-05,4,Brest to Les Sables-d'Olonne,Flat,412.0,Jean Alavoine,Francia
1919,1919-07-07,5,Les Sables-d'Olonne to Bayonne,Flat,482.0,Jean Alavoine,Francia
1919,1919-07-09,6,Bayonne to Luchon,Mountain,326.0,Honore Barthelemy,Francia
1919,1919-07-11,7,Luchon to Perpignan,Mountain,323.0,Jean Alavoine,Francia
1919,1919-07-13,8,Perpignan to Marseille,Flat,370.0,Jean Alavoine,Francia
1919,1919-07-15,9,Marseille to Nice,Mountain,338.0,Honoré Barthélemy,Francia
1919,1919-07-17,10,Nice to Grenoble,Mountain,333.0,Honoré Barthélemy,Francia
1919,1919-07-19,11,Grenoble to Geneva,Mountain,325.0,Honoré Barthélemy,Francia
1919,1919-07-21,12,Geneva to Strasbourg,Mountain,371.0,Luigi Lucotti,Italia
1919,1919-07-23,13,Strasbourg to Metz,Flat,315.0,Luigi Lucotti,Italia
1919,1919-07-25,14,Metz to Dunkerque,Flat,468.0,Firmin Lambot,Bélgica
1919,1919-07-27,15,Dunkerque to Paris,Flat,340.0,Jean Alavoine,Francia
1920,1920-06-27,1,Paris to Le Havre,Flat,388.0,Louis Mottiat,Bélgica
1920,1920-06-29,2,Le Havre to Cherbourg-en-Cotentin,Flat,364.0,Philippe Thys,Bélgica
1920,1920-07-01,3,Cherbourg to Brest,Flat,405.0,Henri Pélissier,Francia
1920,1920-07-03,4,Brest to Les Sables d'Olonne,Flat,412.0,Henri Pélissier,Francia
1920,1920-07-05,5,Les Sables d'Olonne to Bayonne,Flat,482.0,Firmin Lambot,Bélgica
