year,date,stage,course,type,distance_in_km,winner_name,country
1949,1949-07-03,4,Boulogne-sur-Mer to Rouen,Flat,185.0,Lucien Teisseire,Francia
1949,1949-07-04,5,Rouen to Saint-Malo,Flat,293.0,Ferdinand Kübler,Suiza
1949,1949-07-05,6,Saint-Malo to Les Sables-d'Olonne,Flat,305.0,Adolphe Deledda,Francia
1949,1949-07-07,7,Les Sables-d'Olonne to La Rochelle,Individual time-trial,92.0,Fausto Coppi,Italia
1949,1949-07-08,8,La Rochelle to Bordeaux,Flat,262.0,Guy Lapébie,Francia
1949,1949-07-09,9,Bordeaux to San Sebastián (Spain),Flat,228.0,Louis Caput,Francia
1949,1949-07-10,10,San Sebastián (Spain) to Pau,Flat,192.0,Fiorenzo Magni,Italia
1949,1949-07-12,11,Pau to Luchon,Mountain,193.0,Jean Robic,Francia
1949,1949-07-13,12,Luchon to Toulouse,Flat,134.0,Rik Van Steenbergen,Bélgica
1949,1949-07-14,13,Toulouse to Nîmes,Flat,289.0,Emile Idée,Francia
1949,1949-07-15,14,Nîmes to Marseille,Flat,199.0,Jean Goldschmidt,Luxemburgo
1949,1949-07-16,15,Marseille to Cannes,Flat,215.0,Désiré Keteleer,Bélgica
1949,1949-07-18,16,Cannes to Briançon,Mountain,275.0,Gino Bartali,Italia
1949,1949-07-19,17,Briançon to Aosta,Mountain,257.0,Fausto Coppi,Italia
1949,1949-07-21,18,Aosta to Lausanne,Mountain,265.0,Vincenzo Rossello,Italia
1949,1949-07-22,19,Lausanne to Colmar,Mountain,283.0,Raphaël Géminiani,Francia
1949,1949-07-23,20,Colmar to Nancy,Mountain time-trial,137.0,Fausto Coppi,Italia
1949,1949-07-24,21,Nancy to Paris,Flat,340.0,Rik Van Steenbergen,Bélgica
1950,1950-07-13,1,Paris to Metz,Flat,307.0,Jean Goldschmit,Luxemburgo
1950,1950-07-14,2,Metz to Liège (Belgium),Flat,241.0,Adolfo Leoni,Italia
1950,1950-07-15,3,Liège (Belgium) to Lille,Flat,232.5,Alfredo Pasotti,Italia
1950,1950-07-16,4,Lille to Rouen,Flat,231.0,Stan Ockers,Bélgica
1950,1950-07-17,5,Rouen to Dinard,Flat,316.0,Giovanni Corrieri,Italia
1950,1950-07-19,6,Dinard to Saint-Brieuc,Individual time-trial,78.0,Ferdinand Kübler,Suiza
1950,1950-07-20,7,Saint-Brieuc to Angers,Flat,248.0,Nello Lauredi,Francia
1950,1950-07-21,8,Angers to Niort,Flat,181.0,Fiorenzo Magni,Italia
1950,1950-07-22,9,Niort to Bordeaux,Flat,206.0,Alfredo Pasotti,Italia
1950,1950-07-23,10,Bordeaux to Pau,Flat,202.0,Marcel Dussault,Francia
1950,1950-07-25,11,Pau to St. Gaudens,Mountain,230.0,Gino Bartali,Italia
1950,1950-07-26,12,Saint-Gaudens to Perpignan,Flat,233.0,Maurice Blomme,Bélgica
1950,1950-07-27,13,Perpignan to Nîmes,Flat,215.0,Marcel Molinès,Francia
1950,1950-07-28,14,Nîmes to Toulon,Flat,222.0,Custodio Dos Reis,Francia
1950,1950-07-29,15,Toulon to Menton[a],Mountain,205.5,Jean Diederich,Luxemburgo
1950,1950-07-30,16,Menton to Nice,Mountain,96.0,Ferdinand Kübler,Suiza
1950,1950-08-01,17,Nice to Gap,Mountain,229.0,Raphaël Géminiani,Francia
1950,1950-08-02,18,Gap to Briançon,Mountain,165.0,Louison Bobet,Francia
1950,1950-08-03,19,Briançon to Saint-Étienne,Mountain,291.0,Raphaël Géminiani,Francia
1950,1950-08-05,20,Saint-Étienne to Lyon,Mountain time-trial,98.0,Ferdinand Kübler,Suiza
1950,1950-08-06,21,Lyon to Dijon,Flat,233.0,Gino Sciardis,Francia
1950,1950-08-07,22,Dijon to Paris,Flat,314.0,Émile Baffert,Francia
1951,1951-07-04,1,Metz to Reims,Flat,185.0,Giovanni Rossi,Suiza
1951,1951-07-05,2,Reims to Ghent (Belgium),Flat,228.0,Jean Diederich,Luxemburgo
1951,1951-07-06,3,Ghent (Belgium) to Le Tréport,Flat,219.0,Georges Meunier,Francia
1951,1951-07-07,4,Le Tréport to Paris,Flat,188.0,Roger Lévêque,Francia
1951,1951-07-08,5,Paris to Caen,Flat,215.0,Serafino Biagioni,Italia
1951,1951-07-09,6,Caen to Rennes,Flat,182.0,Édouard Muller,Francia
1951,1951-07-10,7,La Guerche-de-Bretagne to Angers,Individual time-trial,85.0,Hugo Koblet,Suiza
1951,1951-07-11,8,Angers to Limoges,Flat,241.0,André Rosseel,Bélgica
1951,1951-07-13,9,Limoges to Clermont-Ferrand,Mountain,236.0,Raphaël Géminiani,Francia
1951,1951-07-14,10,Clermont-Ferrand to Brive,Mountain,216.0,Bernardo Ruiz,España
1951,1951-07-15,11,Brive to Agen,Flat,177.0,Hugo Koblet,Suiza
1951,1951-07-16,12,Agen to Dax,Flat,185.0,Wim van Est,Países Bajos
1951,1951-07-17,13,Dax to Tarbes,Mountain,201.0,Serafino Biagioni,Italia
1951,1951-07-18,14,Tarbes to Luchon,Mountain,142.0,Hugo Koblet,Suiza
1951,1951-07-19,15,Luchon to Carcassonne,Mountain,213.0,André Rosseel,Bélgica
1951,1951-07-20,16,Carcassonne to Montpellier,Flat,192.0,Hugo Koblet,Suiza
1951,1951-07-22,17,Montpellier to Avignon,Mountain,224.0,Louison Bobet,Francia
1951,1951-07-23,18,Avignon to Marseille,Flat,173.0,Fiorenzo Magni,Italia
1951,1951-07-24,19,Marseille to Gap,Mountain,208.0,Armand Baeyens,Bélgica
1951,1951-07-25,20,Gap to Briançon,Mountain,165.0,Fausto Coppi,Italia
1951,1951-07-26,21,Briançon to Aix-les-Bains,Mountain,201.0,Bernardo Ruiz,España
1951,1951-07-27,22,Aix-les-Bains to Geneva,Individual time-trial,97.0,Hugo Koblet,Suiza
1951,1951-07-28,23,Geneva to Dijon,Mountain,197.0,Germain Derycke,Bélgica
1951,1951-07-29,24,Dijon to Paris,Flat,322.0,Adolphe Deledda,Francia
1952,1952-06-25,1,Brest to Rennes,Flat,246.0,Rik Van Steenbergen,Bélgica
1952,1952-06-26,2,Rennes to Le Mans,Flat,181.0,André Rosseel,Bélgica
1952,1952-06-27,3,Le Mans to Rouen,Flat,189.0,Nello Lauredi,Francia
1952,1952-06-28,4,Rouen to Roubaix,Flat,232.0,Pierre Molinéris,Francia
1952,1952-06-29,5,Roubaix to Namur (Belgium),Flat,197.0,Jean Diederich,Luxemburgo
1952,1952-06-30,6,Namur (Belgium) to Metz,Flat,228.0,Fiorenzo Magni,Italia
1952,1952-07-01,7,Metz to Nancy,Individual time-trial,60.0,Fausto Coppi,Italia
1952,1952-07-02,8,Nancy to Mulhouse,Mountain,252.0,Raphaël Géminiani,Francia
1952,1952-07-03,9,Mulhouse to Lausanne,Mountain,238.0,Walter Diggelmann,Suiza
1952,1952-07-04,10,Lausanne to Alpe d'Huez,Mountain,266.0,Fausto Coppi,Italia
1952,1952-07-06,11,Le Bourg-d'Oisans to Sestriere (Italy),Mountain,182.0,Fausto Coppi,Italia
1952,1952-07-07,12,Sestriere (Italy) to Monaco,Mountain,251.0,Jan Nolten,Países Bajos
1952,1952-07-08,13,Monaco to Aix-en-Provence,Flat,214.0,Raoul Rémy,Francia
1952,1952-07-09,14,Aix-en-Provence to Avignon,Mountain,178.0,Jean Robic,Francia
1952,1952-07-10,15,Avignon to Perpignan,Flat,275.0,Georges Decaux,Francia
1952,1952-07-11,16,Perpignan to Toulouse,Flat,200.0,André Rosseel,Bélgica
1952,1952-07-13,17,Toulouse to Bagnères-de-Bigorre,Mountain,204.0,Raphaël Géminiani,Francia
1952,1952-07-14,18,Bagnères-de-Bigorre to Pau,Mountain,149.0,Fausto Coppi,Italia
1952,1952-07-15,19,Pau to Bordeaux,Flat,195.0,Hans Dekkers,Países Bajos
1952,1952-07-16,20,Bordeaux to Limoges,Flat,228.0,Jacques Vivier,Francia
1952,1952-07-17,21,Limoges to Puy de Dôme,Mountain,245.0,Fausto Coppi,Italia
1952,1952-07-18,22,Clermont-Ferrand to Vichy,Individual time-trial,63.0,Fiorenzo Magni,Italia
1952,1952-07-19,23,Vichy to Paris,Flat,354.0,Antonin Rolland,Francia
1953,1953-07-03,1,Strasbourg to Metz,Flat,195.0,Fritz Schär,Suiza
1953,1953-07-04,2,Metz to Liège (Belgium),Flat,227.0,Fritz Schär,Suiza
1953,1953-07-05,3,Liège (Belgium) to Lille,Flat,221.0,Stanislas Bober,Francia
1953,1953-07-06,4,Lille to Dieppe,Flat,188.0,Gerrit Voorting,Países Bajos
1953,1953-07-07,5,Dieppe to Caen,Flat,200.0,Jean Malléjac,Francia
1953,1953-07-08,6,Caen to Le Mans,Flat,206.0,Martin Van Geneugden,Bélgica
1953,1953-07-09,7,Le Mans to Nantes,Flat,181.0,Livio Isotti,Italia
1953,1953-07-10,8,Nantes to Bordeaux,Flat,345.0,Jan Nolten,Países Bajos
1953,1953-07-12,9,Bordeaux to Pau,Flat,197.0,Fiorenzo Magni,Italia
1953,1953-07-13,10,Pau to Cauterets,Mountain,103.0,Jesús Loroño,España
1953,1953-07-14,11,Cauterets to Luchon,Mountain,115.0,Jean Robic,Francia
1953,1953-07-15,12,Luchon to Albi,Flat,228.0,André Darrigade,Francia
1953,1953-07-16,13,Albi to Béziers,Mountain,189.0,Nello Lauredi,Francia
1953,1953-07-17,14,Béziers to Nîmes,Mountain,214.0,Bernard Quennehen,Francia
1953,1953-07-18,15,Nîmes to Marseille,Flat,173.0,Maurice Quentin,Francia
1953,1953-07-19,16,Marseille to Monaco,Mountain,236.0,Wim van Est,Países Bajos
1953,1953-07-21,17,Monaco to Gap,Mountain,261.0,Wout Wagtmans,Países Bajos
1953,1953-07-22,18,Gap to Briançon,Mountain,165.0,Louison Bobet,Francia
1953,1953-07-23,19,Briançon to Lyon,Mountain,227.0,Georges Meunier,Francia
1953,1953-07-24,20,Lyon to St. Etienne,Individual time-trial,70.0,Louison Bobet,Francia
1953,1953-07-25,21,St. Etienne to Montluçon,Flat,210.0,Wout Wagtmans,Países Bajos
1953,1953-07-26,22,Montluçon to Paris,Flat,328.0,Fiorenzo Magni,Italia
1954,1954-07-08,1,Amsterdam (Netherlands) to Brasschaat (Belgium),Flat,216.0,Wout Wagtmans,Países Bajos
1954,1954-07-09,2,Beveren (Belgium) to Lille,Flat,255.0,Louison Bobet,Francia
1954,1954-07-10,3,Lille to Rouen,Flat,219.0,Marcel Dussault,Francia
1954,1954-07-11,4a,Rouen to Circuit des Essarts,Team time-trial,10.4,Switzerland,Suiza
1954,1954-07-11,4b,Rouen to Caen,Flat,131.0,Wim van Est,Países Bajos
1954,1954-07-12,5,Caen to Saint-Brieuc,Flat,224.0,Ferdinand Kübler,Suiza
1954,1954-07-13,6,Saint-Brieuc to Brest,Flat,179.0,Dominique Forlini,Francia
1954,1954-07-14,7,Brest to Vannes,Flat,211.0,Jacques Vivier,Francia
1954,1954-07-15,8,Vannes to Angers,Flat,190.0,Fred De Bruyne,Bélgica
1954,1954-07-16,9,Angers to Bordeaux,Flat,343.0,Henk Faanhof,Países Bajos
1954,1954-07-18,10,Bordeaux to Bayonne,Flat,202.0,Gilbert Bauvin,Francia
1954,1954-07-19,11,Bayonne to Pau,Mountain,241.0,Stan Ockers,Bélgica
1954,1954-07-20,12,Pau to Luchon,Mountain,161.0,Gilbert Bauvin,Francia
1954,1954-07-21,13,Luchon to Toulouse,Flat,203.0,Fred De Bruyne,Bélgica
1954,1954-07-22,14,Toulouse to Millau,Mountain,225.0,Ferdinand Kübler,Suiza
1954,1954-07-23,15,Millau to Le Puy,Mountain,197.0,Dominique Forlini,Francia
1954,1954-07-24,16,Le Puy to Lyon,Mountain,194.0,Jean Forestier,Francia
1954,1954-07-26,17,Lyon to Grenoble,Mountain,182.0,Lucien Lazaridès,Francia
1954,1954-07-27,18,Grenoble to Briançon,Mountain,216.0,Louison Bobet,Francia
1954,1954-07-28,19,Briançon to Aix-les-Bains,Mountain,221.0,Jean Dotto,Francia
1954,1954-07-29,20,Aix les Bains to Besançon,Mountain,243.0,Lucien Teisseire,Francia
1954,1954-07-30,21a,Besançon to Épinal,Flat,134.0,François Mahé,Francia
1954,1954-07-30,21b,Epinal to Nancy,Individual time-trial,72.0,Louison Bobet,Francia
1954,1954-07-31,22,Nancy to Troyes,Flat,216.0,Fred De Bruyne,Bélgica
1954,1954-08-01,23,Troyes to Paris,Flat,180.0,Robert Varnajo,Francia
1955,1955-07-07,1a,Le Havre to Dieppe,Flat,102.0,Miguel Poblet,España
1955,1955-07-07,1b,Dieppe,Team time-trial,12.5,Netherlands,Países Bajos
1955,1955-07-08,2,Dieppe to Roubaix,Flat,204.0,Antonin Rolland,Francia
1955,1955-07-09,3,Roubaix to Namur (Belgium),Flat,210.0,Louison Bobet,Francia
1955,1955-07-10,4,Namur (Belgium) to Metz,Flat,225.0,Willy Kemp,Luxemburgo
1955,1955-07-11,5,Metz to Colmar,Flat,229.0,Roger Hassenforder,Francia
1955,1955-07-12,6,Colmar to Zürich (Switzerland),Flat,195.0,André Darrigade,Francia
1955,1955-07-13,7,Zürich (Switzerland) to Thonon-les-Bains,Flat,267.0,Jos Hinsen,Países Bajos
1955,1955-07-14,8,Thonon-les-Bains to Briançon,Mountain,253.0,Charly Gaul,Luxemburgo
1955,1955-07-15,9,Briançon to Monaco,Mountain,275.0,Raphaël Géminiani,Francia
1955,1955-07-17,10,Monaco to Marseille,Flat,240.0,Lucien Lazaridès,Francia
1955,1955-07-18,11,Marseille to Avignon,Mountain,198.0,Louison Bobet,Francia
1955,1955-07-19,12,Avignon to Millau,Mountain,240.0,Alessandro Fantini,Italia
1955,1955-07-20,13,Millau to Albi,Flat,205.0,Daan de Groot,Países Bajos
1955,1955-07-21,14,Albi to Narbonne,Mountain,156.0,Louis Caput,Francia
1955,1955-07-22,15,Narbonne to Ax-les-Thermes,Flat,151.0,Luciano Pezzi,Italia
1955,1955-07-24,16,Ax-les-Thermes to Toulouse,Flat,123.0,Rik Van Steenbergen,Bélgica
1955,1955-07-25,17,Toulouse to Saint-Gaudens,Mountain,250.0,Charly Gaul,Luxemburgo
1955,1955-07-26,18,Saint-Gaudens to Pau,Mountain,205.0,Jean Brankart,Bélgica
1955,1955-07-27,19,Pau to Bordeaux,Flat,195.0,Wout Wagtmans,Países Bajos
1955,1955-07-28,20,Bordeaux to Poitiers,Flat,243.0,Jean Forestier,Francia
1955,1955-07-29,21,Châtellerault to Tours,Individual time-trial,68.6,Jean Brankart,Bélgica
1955,1955-07-30,22,Tours to Paris,Flat,229.0,Miguel Poblet,España
1956,1956-07-05,1,Reims to Liège (Belgium),Flat,223.0,André Darrigade,Francia
1956,1956-07-06,2,Liège (Belgium) to Lille,Flat,217.0,Fred De Bruyne,Bélgica
1956,1956-07-07,3,Lille to Rouen,Flat,225.0,Arigo Padovan,Italia
1956,1956-07-08,4a,Circuit de Rouen-Les-Essarts,Individual time-trial,15.1,Charly Gaul,Luxemburgo
1956,1956-07-08,4b,Rouen to Caen,Flat,125.0,Roger Hassenforder,Francia
1956,1956-07-09,5,Caen to Saint-Malo,Flat,189.0,Joseph Morvan,Francia
1956,1956-07-10,6,Saint-Malo to Lorient,Flat,192.0,Fred De Bruyne,Bélgica
1956,1956-07-11,7,Lorient to Angers,Flat,244.0,Alessandro Fantini,Italia
1956,1956-07-12,8,Angers to La Rochelle,Flat,180.0,Miguel Poblet,España
1956,1956-07-13,9,La Rochelle to Bordeaux,Flat,219.0,Roger Hassenforder,Francia
1956,1956-07-15,10,Bordeaux to Bayonne,Flat,201.0,Fred De Bruyne,Bélgica
1956,1956-07-16,11,Bayonne to Pau,Mountain,255.0,Nino Defilippis,Italia
1956,1956-07-17,12,Pau to Luchon,Mountain,130.0,Jean-Pierre Schmitz,Luxemburgo
1956,1956-07-18,13,Luchon to Toulouse,Mountain,176.0,Nino Defilippis,Italia
1956,1956-07-19,14,Toulouse to Montpellier,Flat,231.0,Roger Hassenforder,Francia
1956,1956-07-20,15,Montpellier to Aix-en-Provence,Flat,204.0,Joseph Thomin,Francia
1956,1956-07-22,16,Aix-en-Provence to Gap,Mountain,203.0,Jean Forestier,Francia
1956,1956-07-23,17,Gap to Turin (Italy),Mountain,234.0,Nino Defilippis,Italia
1956,1956-07-24,18,Turin (Italy) to Grenoble,Mountain,250.0,Charly Gaul,Luxemburgo
1956,1956-07-25,19,Grenoble to Saint-Étienne,Mountain,173.0,Stan Ockers,Bélgica
1956,1956-07-26,20,Saint-Étienne to Lyon,Individual time-trial,73.0,Miguel Bover,España
1956,1956-07-27,21,Lyon to Montluçon,Mountain,237.0,Roger Hassenforder,Francia
1956,1956-07-28,22,Montluçon to Paris,Flat,331.0,Gastone Nencini,Italia
1957,1957-06-27,1,Nantes to Granville,Flat,204.0,André Darrigade,Francia
1957,1957-06-28,2,Granville to Caen,Flat,226.0,René Privat,Francia
1957,1957-06-29,3a,"Circuit de la Prairie, Caen",Team time-trial,15.0,France,Francia
1957,1957-06-29,3b,Caen to Rouen,Flat,134.0,Jacques Anquetil,Francia
1957,1957-06-30,4,Rouen to Roubaix,Flat,232.0,Marcel Janssens,Bélgica
1957,1957-07-01,5,Roubaix to Charleroi,Flat,170.0,Gilbert Bauvin,Francia
1957,1957-07-02,6,Charleroi to Metz,Flat,248.0,André Trochut,Francia
1957,1957-07-03,7,Metz to Colmar,Mountain,223.0,Roger Hassenforder,Francia
1957,1957-07-04,8,Colmar to Besançon,Flat,192.0,Pierino Baffi,Italia
1957,1957-07-05,9,Besançon to Thonon-les-Bains,Flat,188.0,Jacques Anquetil,Francia
1957,1957-07-07,10,Thonon-les-Bains to Briançon,Mountain,247.0,Gastone Nencini,Italia
1957,1957-07-08,11,Briançon to Cannes,Mountain,286.0,René Privat,Francia
1957,1957-07-09,12,Cannes to Marseille,Mountain,239.0,Jean Stablinski,Francia
1957,1957-07-10,13,Marseille to Alès,Flat,160.0,Nino Defilippis,Italia
1957,1957-07-11,14,Alès to Perpignan,Flat,246.0,Roger Hassenforder,Francia
1957,1957-07-12,15a,Perpignan to Barcelona (Spain),Flat,197.0,René Privat,Francia
1957,1957-07-12,15b,Montjuïc circuit (Spain),Individual time-trial,9.8,Jacques Anquetil,Francia
1957,1957-07-14,16,Barcelona (Spain) to Ax-les-Thermes,Mountain,220.0,Jean Bourlès,Francia
1957,1957-07-15,17,Ax-les-Thermes to Saint-Gaudens,Mountain,236.0,Nino Defilippis,Italia
1957,1957-07-16,18,Saint-Gaudens to Pau,Mountain,207.0,Gastone Nencini,Italia
1957,1957-07-17,19,Pau to Bordeaux,Flat,194.0,Pierino Baffi,Italia
1957,1957-07-18,20,Bordeaux to Libourne,Individual time-trial,66.0,Jacques Anquetil,Francia
1957,1957-07-19,21,Libourne to Tours,Flat,317.0,André Darrigade,Francia
1957,1957-07-20,22,Tours to Paris,Flat,227.0,André Darrigade,Francia
1958,1958-06-26,1,Brussels (Belgium) to Ghent (Belgium),Flat,184.0,André Darrigade,Francia
1958,1958-06-27,2,Ghent (Belgium) to Dunkirk,Flat,198.0,Gerrit Voorting,Países Bajos
1958,1958-06-28,3,Dunkirk to Mers-les-Bains,Flat,177.0,Gilbert Bauvin,Francia
1958,1958-06-29,4,Le Tréport to Versailles,Flat,205.0,Jean Gainche,Francia
1958,1958-06-30,5,Versailles to Caen,Flat,232.0,Tino Sabbadini,Francia
1958,1958-07-01,6,Caen to Saint-Brieuc,Flat,223.0,Martin van Geneugden,Bélgica
1958,1958-07-02,7,Saint-Brieuc to Brest,Flat,170.0,Brian Robinson,Reino Unido
1958,1958-07-03,8,Châteaulin,Individual time-trial,46.0,Charly Gaul,Luxemburgo
1958,1958-07-04,9,Quimper to Saint-Nazaire,Flat,206.0,André Darrigade,Francia
1958,1958-07-05,10,Saint-Nazaire to Royan,Flat,255.0,Pierino Baffi,Italia
1958,1958-07-06,11,Royan to Bordeaux,Flat,137.0,Arigo Padovan,Italia
1958,1958-07-07,12,Bordeaux to Dax,Flat,161.0,Martin van Geneugden,Bélgica
1958,1958-07-08,13,Dax to Pau,Mountain,230.0,Louis Bergaud,Francia
1958,1958-07-09,14,Pau to Luchon,Mountain,129.0,Federico Bahamontes,España
1958,1958-07-10,15,Luchon to Toulouse,Mountain,176.0,André Darrigade,Francia
1958,1958-07-11,16,Toulouse to Béziers,Flat,187.0,Pierino Baffi,Italia
1958,1958-07-12,17,Béziers to Nîmes,Flat,189.0,André Darrigade,Francia
1958,1958-07-13,18,Bédoin to Mont-Ventoux,Mountain time-trial,21.0,Charly Gaul,Luxemburgo
1958,1958-07-14,19,Carpentras to Gap,Mountain,178.0,Gastone Nencini,Italia
1958,1958-07-15,20,Gap to Briançon,Mountain,165.0,Federico Bahamontes,España
1958,1958-07-16,21,Briançon to Aix-les-Bains,Mountain,219.0,Charly Gaul,Luxemburgo
1958,1958-07-17,22,Aix-les-Bains to Besançon,Mountain,237.0,André Darrigade,Francia
1958,1958-07-18,23,Besançon to Dijon,Individual time-trial,74.0,Charly Gaul,Luxemburgo
1958,1958-07-19,24,Dijon to Paris,Flat,320.0,Pierino Baffi,Italia
1959,1959-06-25,1,Mulhouse to Metz,Flat,238.0,André Darrigade,Francia
1959,1959-06-26,2,Metz to Namur (Belgium),Flat,234.0,Vito Favero,Italia
1959,1959-06-27,3,Namur (Belgium) to Roubaix,Flat,217.0,Robert Cazala,Francia
1959,1959-06-28,4,Roubaix to Rouen,Flat,230.0,Dino Bruni,Italia
1959,1959-06-29,5,Rouen to Rennes,Flat,286.0,Jean Graczyk,Francia
1959,1959-06-30,6,Blain to Nantes,Individual time-trial,45.0,Roger Rivière,Francia
1959,1959-07-01,7,Nantes to La Rochelle,Flat,190.0,Roger Hassenforder,Francia
1959,1959-07-02,8,La Rochelle to Bordeaux,Flat,201.0,Michel Dejouhannet,Francia
1959,1959-07-03,9,Bordeaux to Bayonne,Flat,207.0,Marcel Queheille,Francia
1959,1959-07-05,10,Bayonne to Bagnères-de-Bigorre,Mountain,235.0,Marcel Janssens,Bélgica
1959,1959-07-06,11,Bagnères-de-Bigorre to Saint-Gaudens,Mountain,119.0,André Darrigade,Francia
1959,1959-07-07,12,Saint-Gaudens to Albi,Flat,184.0,Rolf Graf,Suiza
1959,1959-07-08,13,Albi to Aurillac,Mountain,219.0,Henry Anglade,Francia
1959,1959-07-09,14,Aurillac to Clermont-Ferrand,Mountain,231.0,André Le Dissez,Francia
1959,1959-07-10,15,Puy de Dôme,Mountain time-trial,12.0,Federico Bahamontes,España
1959,1959-07-11,16,Clermont-Ferrand to Saint-Étienne,Flat,210.0,Dino Bruni,Italia
1959,1959-07-13,17,Saint-Étienne to Grenoble,Mountain,197.0,Charly Gaul,Luxemburgo
1959,1959-07-14,18,Grenoble to Saint-Vincent (Italy),Mountain,243.0,Ercole Baldini,Italia
1959,1959-07-15,19,Saint-Vincent (Italy) to Annecy,Mountain,251.0,Rolf Graf,Suiza
1959,1959-07-16,20,Annecy to Chalon-sur-Saône,Flat,202.0,Brian Robinson,Reino Unido
1959,1959-07-17,21,Seurre to Dijon,Individual time-trial,69.0,Roger Rivière,Francia
1959,1959-07-18,22,Dijon to Paris,Flat,331.0,Joseph Groussard,Francia
1960,1960-06-26,1a,Lille to Brussels (Belgium),Flat,108.0,Julien Schepens,Bélgica
1960,1960-06-26,1b,Brussels (Belgium),Individual time-trial,27.8,Roger Rivière,Francia
1960,1960-06-27,2,Brussels (Belgium) to Dunkirk,Flat,206.0,René Privat,Francia
1960,1960-06-28,3,Dunkirk to Dieppe,Flat,209.0,Nino Defilippis,Italia
1960,1960-06-29,4,Dieppe to Caen,Flat,211.0,Jean Graczyk,Francia
1960,1960-06-30,5,Caen to Saint-Malo,Flat,189.0,André Darrigade,Francia
1960,1960-07-01,6,Saint-Malo to Lorient,Flat,191.0,Roger Rivière,Francia
1960,1960-07-02,7,Lorient to Angers,Flat,244.0,Graziano Battistini,Italia
1960,1960-07-03,8,Angers to Limoges,Flat,240.0,Nino Defilippis,Italia
1960,1960-07-04,9,Limoges to Bordeaux,Flat,225.0,Martin van Geneugden,Bélgica
1960,1960-07-05,10,Mont-de-Marsan to Pau,Mountain,228.0,Roger Rivière,Francia
1960,1960-07-06,11,Pau to Luchon,Mountain,161.0,Kurt Gimmi,Suiza
1960,1960-07-07,12,Luchon to Toulouse,Mountain,176.0,Jean Graczyk,Francia
1960,1960-07-08,13,Toulouse to Millau,Flat,224.0,Louis Proost,Bélgica
1960,1960-07-10,14,Millau to Avignon,Mountain,217.0,Martin van Geneugden,Bélgica
1960,1960-07-11,15,Avignon to Gap,Mountain,187.0,Michel Van Aerde,Bélgica
1960,1960-07-12,16,Gap to Briançon,Mountain,172.0,Graziano Battistini,Italia
1960,1960-07-13,17,Briançon to Aix-les-Bains,Mountain,229.0,Jean Graczyk,Francia
1960,1960-07-14,18,Aix-les-Bains to Thonon-les-Bains,Mountain,215.0,Fernando Manzaneque,España
1960,1960-07-15,19,Pontarlier to Besançon,Individual time-trial,83.0,Rolf Graf,Suiza
1960,1960-07-16,20,Besançon to Troyes,Flat,229.0,Pierre Beuffeuil,Francia
1960,1960-07-17,21,Troyes to Paris,Flat,200.0,Jean Graczyk,Francia
1961,1961-06-25,1a,Rouen to Versailles,Flat,136.5,André Darrigade,Francia
1961,1961-06-25,1b,Versailles,Individual time-trial,28.5,Jacques Anquetil,Francia
1961,1961-06-26,2,Pontoise to Roubaix,Flat,230.5,André Darrigade,Francia
1961,1961-06-27,3,Roubaix to Charleroi (Belgium),Flat,197.5,Emile Daems,Bélgica
1961,1961-06-28,4,Charleroi (Belgium) to Metz,Flat,237.5,Anatole Novak,Francia
1961,1961-06-29,5,Metz to Strasbourg,Mountain,221.0,Louis Bergaud,Francia
1961,1961-06-30,6,Strasbourg to Belfort,Mountain,180.5,Jozef Planckaert,Bélgica
1961,1961-07-01,7,Belfort to Chalon-sur-Saône,Flat,214.5,Jean Stablinski,Francia
1961,1961-07-02,8,Chalon-sur-Saône to Saint-Étienne,Mountain,240.5,Jean Forestier,Francia
1961,1961-07-03,9,Saint-Étienne to Grenoble,Mountain,230.0,Charly Gaul,Luxemburgo
1961,1961-07-04,10,Grenoble to Turin (Italy),Mountain,250.5,Guy Ignolin,Francia
1961,1961-07-05,11,Turin (Italy) to Antibes,Mountain,225.0,Guido Carlesi,Italia
1961,1961-07-06,12,Antibes to Aix-en-Provence,Mountain,199.0,Michel Van Aerde,Bélgica
1961,1961-07-07,13,Aix-en-Provence to Montpellier,Flat,177.5,André Darrigade,Francia
1961,1961-07-09,14,Montpellier to Perpignan,Flat,174.0,Eddy Pauwels,Bélgica
1961,1961-07-10,15,Perpignan to Toulouse,Flat,206.0,Guido Carlesi,Italia
1961,1961-07-11,16,Toulouse to Superbagnères,Mountain,208.0,Imerio Massignan,Italia
1961,1961-07-12,17,Luchon to Pau,Mountain,197.0,Eddy Pauwels,Bélgica
1961,1961-07-13,18,Pau to Bordeaux,Flat,207.0,Martin Van Geneugden,Bélgica
1961,1961-07-14,19,Bergerac to Périgueux,Individual time-trial,74.5,Jacques Anquetil,Francia
1961,1961-07-15,20,Périgueux to Tours,Flat,309.5,André Darrigade,Francia
1961,1961-07-16,21,Tours to Paris,Flat,252.5,Robert Cazala,Francia
1962,1962-06-24,1,Nancy to Spa (Belgium),Flat,253.0,Rudi Altig,Alemania
1962,1962-06-25,2a,Spa (Belgium) to Herentals (Belgium),Flat,147.0,André Darrigade,Francia
1962,1962-06-25,2b,Herentals (Belgium),Team time-trial,23.0,Faema–Flandria–Clement,
1962,1962-06-26,3,Brussels (Belgium) to Amiens,Flat,210.0,Rudi Altig,Alemania
1962,1962-06-27,4,Amiens to Le Havre,Flat,196.5,Willy Vanden Berghen,Bélgica
