year,rank,rider_name,country,team,rider_total_time
1908,15,Eugène Forestier,Francia,Peugeot–Wolber,
1908,16,Achille Germain,Francia,Alcyon–Dunlop,
1908,17,André Pottier,Francia,Peugeot–Wolber,
1908,18,Ernest Paul,Francia,Alcyon–Dunlop,
1908,19,Aldo Bettini,Italia,Peugeot–Wolber,
1908,20,Giovanni Gerbi,Italia,Peugeot–Wolber,
1908,21,Aloïs Catteau,Bélgica,Alcyon–Dunlop,
1908,22,Marceau Narcy,Francia,Alcyon–Dunlop,
1908,23,Martin Soulié,Francia,Alcyon–Dunlop,
1908,24,Ferdinand Payan,Francia,Champeyrache,
1908,25,Noel Combelles,Francia,Alcyon–Dunlop,
1908,26,F. Gonzales,Francia,Peugeot–Wolber,
1908,27,Alexandre Bodinier,Francia,Alcyon–Dunlop,
1908,28,Edouard Wattelier,Francia,Nil–Supra,
1908,29,Georges Bronchard,Francia,Peerless,
1908,30,Robert Lecointe,Francia,Alcyon–Dunlop,
1908,31,Antoine Wattelier,Francia,Nil–Supra,
1908,32,Eloi Guichard,Francia,Terrot,
1908,33,Léon Rabot,Francia,Alcyon–Dunlop,
1908,34,Jean Darche,Francia,Biguet,
1908,35,Louis Di Maria,Francia,,
1908,36,Henri Anthoine,Francia,Labor,
1909,1,François Faber,Luxemburgo,Alcyon,
1909,2,Gustave Garrigou,Francia,Alcyon,
1909,3,Jean Alavoine,Francia,Alcyon,
1909,4,Paul Duboc,Francia,Alcyon,
1909,5,Cyrille van Hauwaert,Bélgica,Alcyon,
1909,6,Ernest Paul,Francia,,
1909,7,Constant Ménager,Francia,Le Globe,
1909,8,Louis Trousselier,Francia,Alcyon,
1909,9,Eugène Christophe,Francia,,
1909,10,Aldo Bettini,Italia,,
1909,11,Julien Maitron,Francia,Le Globe,
1909,12,Georges Fleury,Francia,Le Globe,
1909,13,Alfred Faure,Francia,,
1909,14,Mario Gajoni,Italia,Legnano,
1909,15,Attilio Zavatti,Italia,Legnano,
1909,16,Jules Deloffre,Francia,Nil–Supra,
1909,17,Joseph Habierre,Francia,,
1909,18,Ildebrando Gamberini,Italia,Felsina,
1909,19,Alfred Le Bars,Francia,,
1909,20,Emile Lachaise,Francia,,
1909,21,Lucien Leman,Francia,,
1909,22,Léon Rabot,Francia,,
1909,23,Georges Oudin,Francia,,
1909,24,Armédee Dutiron,Francia,,
1909,25,Robert Lecointe,Francia,,
1909,26,Pierre Langlade,Francia,,
